SizeA,SizeB,Glottocode,Parameter,DataA,DataB
73.0,39.0,amha1245,Sounds,JIPA,LAPSyD
31.0,38.0,assa1263,Sounds,JIPA,LAPSyD
35.0,33.0,nort2697,Sounds,JIPA,LAPSyD
24.0,24.0,bard1255,Sounds,JIPA,LAPSyD
79.0,43.0,beng1280,Sounds,JIPA,LAPSyD
43.5,43.0,stan1293,Sounds,JIPA,LAPSyD
30.0,28.0,bulg1262,Sounds,JIPA,LAPSyD
55.0,47.0,nucl1310,Sounds,JIPA,LAPSyD
31.0,30.0,stan1289,Sounds,JIPA,LAPSyD
39.0,38.0,czec1258,Sounds,JIPA,LAPSyD
42.0,34.0,dutc1256,Sounds,JIPA,LAPSyD
35.0,35.0,stan1290,Sounds,JIPA,LAPSyD
41.0,42.0,stan1295,Sounds,JIPA,LAPSyD
35.0,36.0,viet1252,Sounds,JIPA,LAPSyD
42.0,43.0,haus1257,Sounds,JIPA,LAPSyD
30.0,26.0,hebr1245,Sounds,JIPA,LAPSyD
85.0,58.0,hind1269,Sounds,JIPA,LAPSyD
68.0,40.0,hung1274,Sounds,JIPA,LAPSyD
38.0,35.0,nucl1417,Sounds,JIPA,LAPSyD
31.0,28.0,indo1316,Sounds,JIPA,LAPSyD
50.0,49.0,iris1253,Sounds,JIPA,LAPSyD
30.0,30.0,ital1282,Sounds,JIPA,LAPSyD
22.0,25.0,nucl1643,Sounds,JIPA,LAPSyD
52.0,50.0,jica1244,Sounds,JIPA,LAPSyD
41.0,31.0,kera1255,Sounds,JIPA,LAPSyD
48.0,32.0,kore1280,Sounds,JIPA,LAPSyD
53.0,35.0,kuna1268,Sounds,JIPA,LAPSyD
37.0,24.0,maka1311,Sounds,JIPA,LAPSyD
28.0,26.0,mapu1245,Sounds,JIPA,LAPSyD
54.0,35.0,nara1262,Sounds,JIPA,LAPSyD
67.0,40.0,nepa1254,Sounds,JIPA,LAPSyD
29.0,30.0,west2369,Sounds,JIPA,LAPSyD
25.0,23.0,pitj1243,Sounds,JIPA,LAPSyD
39.0,43.0,poli1260,Sounds,JIPA,LAPSyD
42.0,38.0,russ1263,Sounds,JIPA,LAPSyD
59.0,62.0,sand1273,Sounds,JIPA,LAPSyD
26.0,25.0,seri1257,Sounds,JIPA,LAPSyD
24.0,23.0,ship1254,Sounds,JIPA,LAPSyD
21.0,22.0,jebe1250,Sounds,JIPA,LAPSyD
66.0,66.0,sind1272,Sounds,JIPA,LAPSyD
29.0,29.0,slov1268,Sounds,JIPA,LAPSyD
33.0,33.0,nucl1302,Sounds,JIPA,LAPSyD
23.0,26.0,mode1248,Sounds,JIPA,LAPSyD
35.0,35.0,swed1254,Sounds,JIPA,LAPSyD
36.0,23.0,east2440,Sounds,JIPA,LAPSyD
21.0,21.0,malo1243,Sounds,JIPA,LAPSyD
28.0,36.0,tami1289,Sounds,JIPA,LAPSyD
69.0,39.0,tach1250,Sounds,JIPA,LAPSyD
23.0,22.0,taus1251,Sounds,JIPA,LAPSyD
28.0,26.0,timn1235,Sounds,JIPA,LAPSyD
58.0,54.0,tera1251,Sounds,JIPA,LAPSyD
42.0,42.0,thai1261,Sounds,JIPA,LAPSyD
29.0,27.0,tuka1248,Sounds,JIPA,LAPSyD
37.0,36.0,nucl1301,Sounds,JIPA,LAPSyD
37.0,33.0,uppe1395,Sounds,JIPA,LAPSyD
26.0,21.0,yine1238,Sounds,JIPA,LAPSyD
66.0,32.0,amha1245,Consonants,JIPA,LAPSyD
23.0,23.0,assa1263,Consonants,JIPA,LAPSyD
26.0,24.0,nort2697,Consonants,JIPA,LAPSyD
17.0,17.0,bard1255,Consonants,JIPA,LAPSyD
56.0,29.0,beng1280,Consonants,JIPA,LAPSyD
24.0,24.0,stan1293,Consonants,JIPA,LAPSyD
22.0,22.0,bulg1262,Consonants,JIPA,LAPSyD
34.0,34.0,nucl1310,Consonants,JIPA,LAPSyD
24.0,23.0,stan1289,Consonants,JIPA,LAPSyD
26.0,25.0,czec1258,Consonants,JIPA,LAPSyD
20.0,18.0,dutc1256,Consonants,JIPA,LAPSyD
21.0,21.0,stan1290,Consonants,JIPA,LAPSyD
22.0,23.0,stan1295,Consonants,JIPA,LAPSyD
23.0,22.0,viet1252,Consonants,JIPA,LAPSyD
32.0,31.0,haus1257,Consonants,JIPA,LAPSyD
25.0,21.0,hebr1245,Consonants,JIPA,LAPSyD
64.0,38.0,hind1269,Consonants,JIPA,LAPSyD
50.0,26.0,hung1274,Consonants,JIPA,LAPSyD
27.0,27.0,nucl1417,Consonants,JIPA,LAPSyD
22.0,22.0,indo1316,Consonants,JIPA,LAPSyD
35.0,35.0,iris1253,Consonants,JIPA,LAPSyD
23.0,23.0,ital1282,Consonants,JIPA,LAPSyD
17.0,15.0,nucl1643,Consonants,JIPA,LAPSyD
34.0,32.0,jica1244,Consonants,JIPA,LAPSyD
24.0,19.0,kera1255,Consonants,JIPA,LAPSyD
20.0,21.0,kore1280,Consonants,JIPA,LAPSyD
43.0,22.0,kuna1268,Consonants,JIPA,LAPSyD
32.0,19.0,maka1311,Consonants,JIPA,LAPSyD
22.0,20.0,mapu1245,Consonants,JIPA,LAPSyD
42.0,25.0,nara1262,Consonants,JIPA,LAPSyD
56.0,29.0,nepa1254,Consonants,JIPA,LAPSyD
23.0,24.0,west2369,Consonants,JIPA,LAPSyD
17.0,17.0,pitj1243,Consonants,JIPA,LAPSyD
